morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
1,5,1,5
1,2,1,9
1,2,1,6
1,3,1,1.67
1,9,1,2
1,5.5,1,2
1,3,1,2
1,5,1,3
1,2,1,4
1,2,1,4
1,2,1,4
1,2,1,8
1,3,2,2
1,6,2,2.5
1,7.33,2,1
1,16,2,1
2,3,2,1
2,1.5,2,2
2,1,3,1.666666667
2,2,3,1
2,4.5,3,3.333333333
3,0.933333333,4,1.5
3,2,4,1.75
6,1.666666667,6,1.278333333
6,1.916666667,6,1.833333333
6,1.3,6,2
7,0.857142857,7,1.857142857
8,1.125,8,1.125
9,0.222222222,13,0.692307692
9,1.555555556,,
11,1.818181818,,
13,0.692307692,,
14,1.357142857,,
