morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
1,4,1,6
1,5.33,1,3
1,3,1,5
1,2,1,4
1,4,1,3.5
1,4,1,3
1,2,1,3
1,3,1,2
1,3,1,3
1,5,1,2
1,8,2,1.5
1,11,2,2
1,2,2,9
1,4,2,1.5
2,5.08,2,2.5
2,1,2,2
2,2,2,2
2,2,2,2
2,1.25,2,5.5
2,2.5,3,3
2,5.5,3,1.67
2,2.5,4,2.5
3,1.67,4,1
3,4.83,4,1
3,1.08,4,3.5
3,2.33,5,2
4,2,5,1.8
4,1.25,6,1.67
4,1.5,6,1
4,1.25,7,0.71
5,0.8,8,1.38
6,1.67,8,2.13
6,2,8,1.38
6,2,9,1.33
7,1.21,10,1.5
7,1.14,15,1.77
7,0.86,,
8,0.88,,
9,1.11,,
10,1.1,,
10,1.4,,
11,2.36,,
11,1.59,,
15,1.07,,
