morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
1,5,1,2
1,4.67,1,11
1,3,1,3
1,3,1,5
1,3,1,8
1,3,1,8
1,4,1,7
1,2,1,2
1,4,1,3
1,5,1,3
1,5,1,6
1,6,1,2
1,6,1,10
1,2,1,1
1,2,1,3
1,3,1,3
1,2.67,1,4
1,4,1,4
1,2,1,4
1,3,1,2
1,3,1,2
1,2,1,10
1,2,1,5
1,2,1,6
1,4,1,5
1,4,1,12
1,4,1,5
1,3,1,1
1,4,1,10
1,6,1,11
1,8,2,3.5
1,2,2,4.5
1,5.5,2,2
1,4,2,1.5
1,10,2,8
1,7,2,5.5
2,5,2,3
2,1.5,2,1.5
2,2,2,0.5
2,1.5,3,3.333333333
2,3,3,1.666666667
2,2.5,3,4.333333333
3,1.333333333,3,3
3,3,3,1.333333333
3,1.333333333,3,1.333333333
3,6.093333333,3,2
3,1.666666667,3,3.333333333
3,1.333333333,3,2.666666667
3,2.666666667,3,1.223333333
3,2,4,3
3,1.333333333,4,4.75
4,4,4,2.25
4,1.25,4,1.875
4,1.5,4,1.9375
4,2.25,4,2.625
4,5,6,2.333333333
4,1.25,6,1.333333333
4,0.25,6,1.5
4,1.75,7,1.785714286
4,1.5,9,1.222222222
5,0.9,9,1.555555556
5,1.2,27,2.074074074
6,0.666666667,,
6,1.166666667,,
6,2.166666667,,
6,1.166666667,,
6,0.833333333,,
6,1.166666667,,
7,2.285714286,,
7,0.904285714,,
9,1.222222222,,
12,1.125,,
