morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
2.00 ,5.0825,2.00 ,1.5
2.00 ,1,2.00 ,2
2.00 ,2,2.00 ,9
2.00 ,2,2.00 ,1.5
2.00 ,1.25,2.00 ,2.5
2.00 ,2.5,2.00 ,2
2.00 ,5.5,2.00 ,2
2.00 ,2.5,2.00 ,2
3.00 ,1.666666667,2.00 ,5.5
3.00 ,4.833333333,3.00 ,3
3.00 ,1.083333333,3.00 ,1.666666667
3.00 ,2.333333333,4.00 ,2.5
4.00 ,2,4.00 ,1
4.00 ,1.25,4.00 ,1
4.00 ,1.5,4.00 ,3.5
4.00 ,1.25,5.00 ,2
5.00 ,0.8,5.00 ,1.8
6.00 ,1.666666667,6.00 ,1.666666667
6.00 ,2,6.00 ,1
6.00 ,2,7.00 ,0.714285714
7.00 ,1.214285714,8.00 ,1.375
7.00 ,1.142857143,8.00 ,2.125
7.00 ,0.857142857,8.00 ,1.375
8.00 ,0.875,9.00 ,1.333333333
9.00 ,1.111111111,10.00 ,1.5
10.00 ,1.1,15.00 ,1.766666667
10.00 ,1.4,,
11.00 ,2.363636364,,
11.00 ,1.590909091,,
15.00 ,1.066666667,,
