morph_number_nu,ratio_nu,morph_number_comb,ratio_comb
2.00 ,5,2.00 ,3.5
2.00 ,1.5,2.00 ,4.5
2.00 ,2,2.00 ,2
2.00 ,1.5,2.00 ,1.5
2.00 ,3,2.00 ,8
2.00 ,2.5,2.00 ,5.5
3.00 ,1.333333333,2.00 ,3
3.00 ,3,2.00 ,1.5
3.00 ,1.333333333,2.00 ,0.5
3.00 ,6.093333333,3.00 ,3.333333333
3.00 ,1.666666667,3.00 ,1.666666667
3.00 ,1.333333333,3.00 ,4.333333333
3.00 ,2.666666667,3.00 ,3
3.00 ,2,3.00 ,1.333333333
3.00 ,1.333333333,3.00 ,1.333333333
4.00 ,4,3.00 ,2
4.00 ,1.25,3.00 ,3.333333333
4.00 ,1.5,3.00 ,2.666666667
4.00 ,2.25,3.00 ,1.223333333
4.00 ,5,4.00 ,3
4.00 ,1.25,4.00 ,4.75
4.00 ,0.25,4.00 ,2.25
4.00 ,1.75,4.00 ,1.875
4.00 ,1.5,4.00 ,1.9375
5.00 ,0.9,4.00 ,2.625
5.00 ,1.2,6.00 ,2.333333333
6.00 ,0.666666667,6.00 ,1.333333333
6.00 ,1.166666667,6.00 ,1.5
6.00 ,2.166666667,7.00 ,1.785714286
6.00 ,1.166666667,9.00 ,1.222222222
6.00 ,0.833333333,9.00 ,1.555555556
6.00 ,1.166666667,27.00 ,2.074074074
7.00 ,2.285714286,,
7.00 ,0.904285714,,
9.00 ,1.222222222,,
12.00 ,1.125,,
