morph_number_nu,sample_nu
2.00 ,34
2.00 ,15.5
2.00 ,10
2.00 ,14.5
2.00 ,19
2.00 ,34.5
3.00 ,38
3.00 ,13.33333333
3.00 ,15
3.00 ,120.6666667
3.00 ,72.66666667
3.00 ,28
3.00 ,13.66666667
3.00 ,23.33333333
3.00 ,56.33333333
4.00 ,18.5
4.00 ,29.5
4.00 ,14.25
4.00 ,16.25
4.00 ,37.5
4.00 ,16
4.00 ,18.75
4.00 ,21.75
4.00 ,22
4.00 ,15
5.00 ,18.6
5.00 ,14.6
6.00 ,10.16666667
6.00 ,15.66666667
6.00 ,10.83333333
6.00 ,11.5
6.00 ,20.83333333
6.00 ,42.83333333
7.00 ,22.42857143
7.00 ,16.57142857
9.00 ,17.55555556
12.00 ,11.25
